wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
7.0,1.0,0.0,8.0,21.0,9.0,2.0,6.0,7.0,0.833333,207.0,1.0,5.0,0.0,0.571429,0.0,0.0,27.714286,2.0,1.0,true
5.0,3.0,0.0,4.0,13.0,10.0,2.0,2.0,4.0,1.25,40.0,0.0,0.0,0.92,0.4,1.0,1.0,6.8,1.0,0.4,false
5.0,2.0,0.0,5.0,7.0,6.0,4.0,1.0,5.0,2.0,46.0,0.0,0.0,0.769231,0.7,1.0,1.0,8.2,2.0,1.0,true
11.0,2.0,0.0,7.0,21.0,35.0,2.0,5.0,9.0,0.8,107.0,0.5,0.0,0.55,0.257576,1.0,4.0,8.545455,2.0,0.9091,true
9.0,2.0,0.0,5.0,13.0,36.0,2.0,3.0,9.0,1.125,59.0,0.0,0.0,0.3,0.259259,0.0,0.0,5.333333,1.0,0.7778,false
16.0,1.0,0.0,20.0,55.0,0.0,9.0,14.0,14.0,0.5,453.0,1.0,3.0,0.0,0.198864,0.0,0.0,27.0625,6.0,1.0625,true
10.0,2.0,0.0,6.0,18.0,27.0,2.0,5.0,10.0,0.833333,104.0,0.75,0.0,0.466667,0.28,1.0,2.0,9.0,1.0,0.8,true
7.0,1.0,0.0,6.0,16.0,9.0,5.0,1.0,3.0,1.164242,1460.0,0.003636,0.0,0.0,0.190476,0.0,0.0,168.285714,2.0,1.2857,true
1.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,false
9.0,2.0,1.0,6.0,32.0,0.0,2.0,4.0,9.0,0.125,172.0,0.0,0.0,0.533333,0.351852,1.0,1.0,18.0,4.0,1.1111,true
6.0,3.0,0.0,5.0,9.0,15.0,2.0,3.0,5.0,1.2,31.0,0.0,0.0,0.851852,0.333333,0.0,0.0,4.0,1.0,0.6667,false
26.0,1.0,3.0,11.0,42.0,325.0,10.0,1.0,22.0,1.04,693.0,0.0,0.0,0.0,0.544872,0.0,0.0,25.461538,10.0,1.9615,true
5.0,3.0,0.0,4.0,6.0,0.0,3.0,1.0,5.0,2.0,35.0,0.0,0.0,0.777778,0.466667,0.0,0.0,6.0,1.0,0.8,true
6.0,1.0,49.0,51.0,56.0,15.0,51.0,46.0,6.0,1.2,923.0,1.0,0.0,0.0,0.666667,0.0,0.0,152.5,1.0,0.8333,false
